Total Pressure [bar],Feed_yCO2,Feed_yCH4,partial_pressure_CO2 [bar],partial_pressure_CH4 [bar],IAST Loading CO2 [mmol/g],IAST Loading CH4 [mmol/g],Selectivity_CO2_CH4,Adsorbed_xCO2,Adsorbed_xCH4
1.0,0.01,0.99,0.01,0.99,0.009798568521732868,0.27411883841251405,3.5388238519810855,0.034512038650740914,0.9654879613492591
2.0,0.01,0.99,0.02,1.98,0.01896828845940943,0.5269590514379643,3.563579660235902,0.03474507882857669,0.9652549211714233
3.0,0.01,0.99,0.03,2.9699999999999998,0.0275794645847294,0.7610358805586563,3.5876981146853684,0.03497201107558326,0.9650279889244168
4.0,0.01,0.99,0.04,3.96,0.03569017927955519,0.9784201973754825,3.611257983179183,0.03519358454577341,0.9648064154542266
5.0,0.01,0.99,0.05,4.95,0.043349936344503875,1.180869208791973,3.6343090887230667,0.03541027479983675,0.9645897252001633
6.0,0.01,0.99,0.06,5.9399999999999995,0.05060145637316091,1.369892306846955,3.656889053179125,0.035622441775775567,0.9643775582242244
7.0,0.01,0.99,0.07,6.93,0.05748191259887107,1.5467966999123535,3.679028632276426,0.03583038017872278,0.9641696198212772
8.2,0.01,0.99,0.08199999999999999,8.117999999999999,0.06529421531165265,1.7446794689046368,3.7050515186677755,0.03607467659946932,0.9639253234005306
1.0,0.02,0.98,0.02,0.98,0.019582924528598136,0.27110553098244766,3.539445685316668,0.06736739680346202,0.9326326031965381
2.0,0.02,0.98,0.04,1.96,0.03788871990811849,0.5207998143981746,3.5648001865038936,0.06781724982984265,0.9321827501701574
3.0,0.02,0.98,0.06,2.94,0.055061927830032734,0.751646113843265,3.589500981886543,0.06825508732480422,0.9317449126751958
4.0,0.02,0.98,0.08,3.92,0.07122177522326878,0.9657513074352607,3.6136290565406393,0.06868237605616016,0.9313176239438399
5.0,0.02,0.98,0.1,4.9,0.08646970968401468,1.1648999768276609,3.637235693020841,0.06910005142050235,0.9308999485794978
6.0,0.02,0.98,0.12,5.88,0.1008931371302058,1.350622401784736,3.660359633341864,0.0695088233127886,0.9304911766872115
7.0,0.02,0.98,0.14,6.859999999999999,0.11456799770829743,1.5242417243700173,3.6830325518262668,0.06990927388629593,0.930090726113704
8.2,0.02,0.98,0.16399999999999998,8.036,0.13008265466772764,1.7182198435606348,3.709682496455069,0.07037952650738429,0.9296204734926157
1.0,0.03,0.97,0.03,0.97,0.029353285377510193,0.2680992964251685,3.5400673302565147,0.09868223432325862,0.9013177656767414
2.0,0.03,0.97,0.06,1.94,0.05676181870561326,0.5146630311330289,3.566020276945917,0.09933382967443848,0.9006661703255615
3.0,0.03,0.97,0.09,2.91,0.08244836466665555,0.7423017125652307,3.591303121668243,0.0999676955998325,0.9000323044001676
4.0,0.03,0.97,0.12,3.88,0.10659638609242413,0.9531574562155477,3.6159990788296645,0.10058598689321523,0.8994140131067848
5.0,0.03,0.97,0.15,4.85,0.12936172748533104,1.1490414764825794,3.640160900164382,0.10119008391391529,0.8988099160860846
6.0,0.03,0.97,0.18,5.82,0.15087844747862444,1.3315042432631532,3.663828455541799,0.10178103698925785,0.8982189630107421
7.0,0.03,0.97,0.21,6.79,0.17126284276785672,1.501884188235127,3.687034344062517,0.1023597087371285,0.8976402912628716
8.2,0.03,0.97,0.24599999999999997,7.953999999999999,0.19437155595681346,1.6920178411377949,3.7143108993721827,0.1030389357871614,0.8969610642128386
1.0,0.04,0.96,0.04,0.96,0.03910985024022482,0.2650999456206043,3.5406887902901265,0.12856210014393132,0.8714378998560686
2.0,0.04,0.96,0.08,1.92,0.07558807272343453,0.5085482829151894,3.5672399382871744,0.12940141799733676,0.8705985820026633
3.0,0.04,0.96,0.12,2.88,0.10973969437065763,0.7330019577493778,3.5931045436529305,0.13021748016677703,0.869782519833223
4.0,0.04,0.96,0.16,3.84,0.14181553364526164,0.9406375330142899,3.6183680621157746,0.13101310164227642,0.8689868983577236
5.0,0.04,0.96,0.2,4.8,0.172028297438689,1.1332921002925118,3.643084724108542,0.13179009363348204,0.8682099063665178
6.0,0.04,0.96,0.24,5.76,0.200560666541556,1.3125356140844728,3.6672955349519043,0.13254983777937512,0.8674501622206249
7.0,0.04,0.96,0.28,6.72,0.22757087933205164,1.479721147935838,3.6910340246120903,0.13329347041831155,0.8667065295816884
8.2,0.04,0.96,0.32799999999999996,7.871999999999999,0.25816696037742665,1.6660694919378165,3.718936742459417,0.1341659233545856,0.8658340766454145
1.0,0.05,0.95,0.05,0.95,0.04885280213511231,0.26210730564343276,3.541310068746611,0.15710311680848646,0.8428968831915135
2.0,0.05,0.95,0.1,1.9,0.09436793736769462,0.502455183338699,3.568459176940293,0.1581170938150012,0.8418829061849987
3.0,0.05,0.95,0.15000000000000002,2.8499999999999996,0.13693678654510835,0.7237461792035171,3.5949052570064532,0.15910247093829746,0.8408975290617026
4.0,0.05,0.95,0.2,3.8,0.17688067106101185,0.9281904931941334,3.620736017877226,0.16006269712071922,0.8399373028792808
5.0,0.05,0.95,0.25,4.75,0.21447163732550442,1.1176503254487078,3.646007178093552,0.16100000099004166,0.8389999990099584
6.0,0.05,0.95,0.30000000000000004,5.699999999999999,0.24994295919017606,1.2937144020543236,3.670760885920737,0.1619160867335686,0.8380839132664314
7.0,0.05,0.95,0.35000000000000003,6.6499999999999995,0.2834963969073966,1.4577497873931473,3.6950316081835535,0.16281235787533208,0.8371876421246679
8.2,0.05,0.95,0.41,7.789999999999999,0.3214747287579772,1.640370984003566,3.7235600397503053,0.16386341018910264,0.8361365898108973
1.0,0.06,0.94,0.06,0.94,0.05858230969151771,0.25912121799080445,3.5419311688053825,0.18439300979400922,0.8156069902059907
2.0,0.06,0.94,0.12,1.88,0.1131018390728398,0.49638337480984,3.569677999026391,0.18556945516747325,0.8144305448325267
3.0,0.06,0.94,0.18,2.82,0.16404046631743932,0.714533750302228,3.59670527046883,0.18671213337968015,0.8132878666203199
4.0,0.06,0.94,0.24,3.76,0.21179318982935452,0.9158153512800901,3.6231029570411284,0.1878251025138325,0.8121748974861676
5.0,0.06,0.94,0.3,4.699999999999999,0.25669388360614337,1.102114705218945,3.6489282746941156,0.18891099579234855,0.8110890042076514
6.0,0.06,0.94,0.36,5.64,0.29902838635489093,1.2750385897226,3.674224522029973,0.1899718315036741,0.8100281684963259
7.0,0.06,0.94,0.42,6.58,0.3390435550305408,1.4359674060644203,3.699027108632608,0.19100927400549292,0.808990725994507
8.2,0.06,0.94,0.49199999999999994,7.707999999999999,0.38430055583592476,1.614918649084227,3.7281808043459783,0.1922253222108646,0.8077746777891354
1.0,0.07,0.9299999999999999,0.07,0.9299999999999999,0.0682985286869119,0.25614153703832143,3.5425520935060857,0.21051200484207022,0.7894879951579298
2.0,0.07,0.9299999999999999,0.14,1.8599999999999999,0.13179017834612683,0.4903325254894948,3.5708964103942225,0.21183952544022355,0.7881604745597764
3.0,0.07,0.9299999999999999,0.21000000000000002,2.79,0.19105151887030167,0.705364083440602,3.5985045923823575,0.21312828377572046,0.7868717162242795
4.0,0.07,0.9299999999999999,0.28,3.7199999999999998,0.2465544257606672,0.9035111749411272,3.625468890020114,0.2143829235568949,0.7856170764431051
5.0,0.07,0.9299999999999999,0.35000000000000003,4.6499999999999995,0.29869709891976104,1.0866838614623335,3.651848025864176,0.21560647032234295,0.7843935296776571
6.0,0.07,0.9299999999999999,0.42000000000000004,5.58,0.3478199140432701,1.256506245424209,3.677686456146885,0.21680124829400108,0.783198751705999
7.0,0.07,0.9299999999999999,0.49000000000000005,6.51,0.3942163938505059,1.4143714084896568,3.7030205390218307,0.21796917647040556,0.7820308235295944
8.2,0.07,0.9299999999999999,0.574,7.625999999999999,0.44664998280044726,1.5897089503431976,3.7327990484829643,0.21933755171094904,0.780662448289051
1.0,0.08,0.92,0.08,0.92,0.0780016033902672,0.2531681286906859,3.543172845757477,0.23553361262858413,0.7644663873714159
2.0,0.08,0.92,0.16,1.84,0.15043333242891732,0.4843023266205815,3.572114416637679,0.2370015458942193,0.7629984541057807
3.0,0.08,0.92,0.24,2.7600000000000002,0.21797069340394978,0.6962366260594168,3.6003032307172878,0.23842588958038213,0.7615741104196179
4.0,0.08,0.92,0.32,3.68,0.2811656642462858,0.8912770797257439,3.6278338267458223,0.23981185067830776,0.7601881493216922
5.0,0.08,0.92,0.4,4.6000000000000005,0.340483278655948,1.0713564780771858,3.6547664429778206,0.2411628352524898,0.7588371647475103
6.0,0.08,0.92,0.48,5.5200000000000005,0.39632042125431755,1.2381155154289105,3.6811467004722647,0.2424814655376296,0.7575185344623704
7.0,0.08,0.92,0.56,6.44,0.4490188434338783,1.392959295120287,3.707011911675205,0.24376990911864424,0.7562300908813558
8.2,0.08,0.92,0.6559999999999999,7.544,0.5085284083517985,1.5647384715539536,3.737414783595059,0.24527879805561525,0.7547212019443847
1.0,0.09,0.91,0.09,0.91,0.08769166773959285,0.2502008691989553,3.5437934283457846,0.2595253169369087,0.7404746830630913
2.0,0.09,0.91,0.18,1.82,0.1690316576300046,0.4782924901850778,3.5733320231118926,0.261123670730558,0.738876329269442
3.0,0.09,0.91,0.27,2.73,0.24479870661203124,0.6871508571594338,3.6021011930954216,0.26267377133733105,0.737326228662669
4.0,0.09,0.91,0.36,3.64,0.31562814487672036,0.8791122244429901,3.630197776699614,0.26418136775309614,0.7358186322469038
5.0,0.09,0.91,0.44999999999999996,4.55,0.38205435673162014,1.056131295247751,3.6576835368667853,0.2656502352153213,0.7343497647846787
6.0,0.09,0.91,0.54,5.46,0.4445327069474702,1.2198646170409118,3.6846052665843674,0.2670832862685936,0.7329167137314063
7.0,0.09,0.91,0.63,6.37,0.503454731975783,1.3717286542465328,3.7110012382280693,0.2684829311494844,0.7315170688505156
8.2,0.09,0.91,0.7379999999999999,7.462,0.5699410984888867,1.540003907570993,3.74202802036994,0.2701213049875632,0.7298786950124367
1.0,0.1,0.9,0.1,0.9,0.09736884637704228,0.24723964412088176,3.544413843942137,0.2825491799008035,0.7174508200991965
2.0,0.1,0.9,0.2,1.8,0.18758549137727032,0.47230274684410867,3.5745492349479684,0.28426857839272357,0.7157314216072764
3.0,0.1,0.9,0.30000000000000004,2.7,0.27153624573943325,0.6781062842358024,3.60389848681168,0.2859352200101171,0.7140647799898829
4.0,0.1,0.9,0.4,3.6,0.3499430655083361,0.8670158070979157,3.632560748940694,0.2875553754408269,0.7124446245591732
5.0,0.1,0.9,0.5,4.5,0.423412210685049,1.041007104377258,3.6605993178548477,0.2891331781341835,0.7108668218658165
6.0,0.1,0.9,0.6000000000000001,5.4,0.4924594961991417,1.2017518325145766,3.688062165479174,0.2906718234336371,0.7093281765663628
7.0,0.1,0.9,0.7000000000000001,6.3,0.5575277930699731,1.350677154869038,3.714988529672941,0.2921739583958948,0.7078260416041052
8.2,0.1,0.9,0.82,7.38,0.6308931952025085,1.5155020558973031,3.7466387688010796,0.29393150906350507,0.7060684909364949
1.0,0.2,0.8,0.2,0.8,0.19345424424914487,0.21793920546645648,3.550609333187091,0.470241430394385,0.5297585696056151
2.0,0.2,0.8,0.4,1.6,0.37074060932838415,0.4134614470785307,3.586700641116536,0.4727615877814154,0.5272384122185846
3.0,0.2,0.8,0.6000000000000001,2.4000000000000004,0.5340702919173134,0.589833757147611,3.6218360542810215,0.47519207032099753,0.5248079296790025
4.0,0.2,0.8,0.8,3.2,0.6852162815095335,0.7496611999282069,3.656138434669714,0.47754340727610417,0.5224565927238958
5.0,0.2,0.8,1.0,4.0,0.8256438666224868,0.8950828542982112,3.689686882762745,0.47982277289255726,0.5201772271074427
6.0,0.2,0.8,1.2000000000000002,4.800000000000001,0.9565811201338457,1.0278795960639333,3.722541526446827,0.4820358056604176,0.5179641943395824
7.0,0.2,0.8,1.4000000000000001,5.6000000000000005,1.079067744690451,1.1495490246541575,3.754751547077652,0.4841872140304244,0.5158127859695756
8.2,0.2,0.8,1.64,6.56,1.2161374745001656,1.2826387059712203,3.7926111814294594,0.48669323967653055,0.5133067603234696
1.0,0.25,0.75,0.25,0.75,0.24104486306492645,0.20348770842306857,3.553701571454723,0.5422434226991982,0.45775657730080177
2.0,0.25,0.75,0.5,1.5,0.4607421868929938,0.38472522778196366,3.592762992559288,0.544955581842415,0.455044418157585
3.0,0.25,0.75,0.75,2.25,0.6621442771320654,0.5471088421704282,3.6307818084530394,0.5475646633138274,0.4524353366861727
4.0,0.25,0.75,1.0,3.0,0.8476793607409949,0.6933239307465633,3.6678931296726915,0.5500827710255666,0.4499172289744334
5.0,0.25,0.75,1.25,3.75,1.0193386780842753,0.8255572129158402,3.704184260533581,0.5525182656955744,0.4474817343044256
6.0,0.25,0.75,1.5,4.5,1.1787790156173712,0.9456150446567283,3.739721641311084,0.5548777591033556,0.4451222408966444
7.0,0.25,0.75,1.75,5.25,1.327393608427756,1.0550054147886327,3.7745596083799122,0.5571667867105197,0.44283321328948033
8.2,0.25,0.75,2.05,6.1499999999999995,1.4930928072200582,1.1739669123882002,3.8155065312258087,0.559827287046788,0.4401727129532121
1.0,0.3,0.7,0.3,0.7,0.2883442528228928,0.18916021956673296,3.5567904188723705,0.6038566536977159,0.3961433463022841
2.0,0.3,0.7,0.6,1.4,0.5497273645783981,0.35642189984208256,3.598816976691326,0.6066631471912866,0.39333685280871344
3.0,0.3,0.7,0.8999999999999999,2.0999999999999996,0.7881686495367483,0.5052761587867162,3.639712957501136,0.6093562280081789,0.3906437719918211
4.0,0.3,0.7,1.2,2.8,1.0068406330110937,0.6384602215087276,3.6796259676251486,0.6119492555086156,0.3880507444913844
5.0,0.3,0.7,1.5,3.5,1.208325031519959,0.7581847665156054,3.7186517034677715,0.6144515693372133,0.38554843066278666
6.0,0.3,0.7,1.7999999999999998,4.199999999999999,1.3947546900852348,0.8662619733361748,3.7568630626429655,0.6168705930608525,0.38312940693914754
7.0,0.3,0.7,2.1,4.8999999999999995,1.567911426952719,0.9641939358151705,3.794319649117056,0.6192125533191901,0.3807874466808099
8.2,0.3,0.7,2.4599999999999995,5.739999999999999,1.7602782737681872,1.0700755505680317,3.838342040377869,0.6219286997381014,0.3780713002618986
1.0,0.35,0.65,0.35,0.65,0.33535821235679886,0.1749521894651415,3.559876047088387,0.6571651511697256,0.3428348488302744
2.0,0.35,0.65,0.7,1.3,0.6377178982996812,0.3285376632169451,3.6048629192244257,0.6599888514987947,0.3400111485012053
3.0,0.35,0.65,1.0499999999999998,1.9500000000000002,0.9121959181060746,0.46430527483457423,3.6486299541377054,0.662691701819256,0.33730829818074404
4.0,0.35,0.65,1.4,2.6,1.1627996550451019,0.5850142607152083,3.6913374915256156,0.6652880175400575,0.3347119824599425
5.0,0.35,0.65,1.75,3.25,1.3927656612143096,0.6928750547693066,3.7330897996597714,0.66778791310538,0.33221208689462
6.0,0.35,0.65,2.0999999999999996,3.9000000000000004,1.6047491734023083,0.7896860151018681,3.7739663713122167,0.6701994612787195,0.32980053872128046
7.0,0.35,0.65,2.4499999999999997,4.55,1.8009542447128033,0.8769273958783894,3.814032184795968,0.6725294417102052,0.32747055828979477
8.2,0.35,0.65,2.8699999999999997,5.33,2.0181532928102306,0.9707030221316374,3.861118062794688,0.6752259326489178,0.32477406735108216
1.0,0.4,0.6,0.4,0.6,0.38209162138420577,0.1608599750078036,3.562958604516162,0.7037305423232181,0.2962694576767819
2.0,0.4,0.6,0.8,1.2,0.72473347002091,0.3010606423985669,3.610901100756237,0.706509679911816,0.293490320088184
3.0,0.4,0.6,1.2000000000000002,1.7999999999999998,1.034274786826027,0.4241689962612854,3.65753318586109,0.7091632867991787,0.2908367132008213
4.0,0.4,0.6,1.6,2.4,1.3156495564459025,0.5329352758130398,3.7030281616433522,0.7117063461124469,0.288293653887553
5.0,0.4,0.6,2.0,3.0,1.5728131281333502,0.6295451090734886,3.7474990404931043,0.7141495427774207,0.2858504572225793
6.0,0.4,0.6,2.4000000000000004,3.5999999999999996,1.8089883058214016,0.7157635252469385,3.7910320420364396,0.7165014333531285,0.28349856664687145
7.0,0.4,0.6,2.8000000000000003,4.2,2.026833558194253,0.7930334204583115,3.8336976208825493,0.7187692091641671,0.2812307908358329
8.2,0.4,0.6,3.28,4.919999999999999,2.2671463155449962,0.8756086723101687,3.8838348463876904,0.7213881846679543,0.2786118153320457
1.0,0.45,0.55,0.45,0.55,0.4285487031771235,0.14688057612038816,3.5660382207262495,0.7447460853926289,0.2552539146073711
2.0,0.45,0.55,0.9,1.1,0.810792217102245,0.27398035949809185,3.6169317653373256,0.7474305993642071,0.2525694006357929
3.0,0.45,0.55,1.35,1.6500000000000001,1.1544509723474452,0.3848425666323781,3.6664229874990855,0.7499875385123522,0.2500124614876478
4.0,0.45,0.55,1.8,2.2,1.465478193302687,0.48217643392762544,3.714698371811069,0.7524322704927872,0.2475677295072128
5.0,0.45,0.55,2.25,2.75,1.7486113853970022,0.5681180111890242,3.761879840405054,0.7547758439003653,0.2452241560996347
6.0,0.45,0.55,2.7,3.3000000000000003,2.007684817167128,0.6443797362179261,3.8080604662744193,0.7570271299032107,0.24297287009678925
7.0,0.45,0.55,3.15,3.8500000000000005,2.2458420318415286,0.7123521249223725,3.8533162784017065,0.7591935866367724,0.2408064133632276
8.2,0.45,0.55,3.69,4.51,2.5076584896103906,0.7845697601369619,3.9064925612363557,0.7616903505408017,0.2383096494591984
1.0,0.5,0.5,0.5,0.5,0.4747331996994607,0.13301146037499678,3.5691150097973066,0.7811392364044779,0.21886076359552212
2.0,0.5,0.5,1.0,1.0,0.8959110877727837,0.24728738180999665,3.6229551270074802,0.7836881448063465,0.21631185519365348
3.0,0.5,0.5,1.5,1.5,1.272767761617823,0.34630312697075827,3.675299650774724,0.7861099662704413,0.21389003372955875
4.0,0.5,0.5,2.0,2.0,1.6123689538156116,0.4326940892215193,3.726348461834785,0.7884201708623497,0.21157982913765028
5.0,0.5,0.5,2.5,2.5,1.9202969031309478,0.5085218870224124,3.776232551906489,0.790629960092534,0.20937003990746603
6.0,0.5,0.5,3.0,3.0,2.201039864784231,0.5754274405423406,3.825051969558056,0.7927483462749949,0.2072516537250051
7.0,0.5,0.5,3.5,3.5,2.4582555608195062,0.6347344148713528,3.872888413207817,0.794782905906581,0.20521709409341904
8.2,0.5,0.5,4.1,4.1,2.7400665163642497,0.6973791884187083,3.9290913205730864,0.797122849839241,0.20287715016075902
1.0,0.55,0.44999999999999996,0.55,0.44999999999999996,0.5206484915522598,0.11925044300747306,3.5721890729173533,0.8136417540849316,0.18635824591506858
2.0,0.55,0.44999999999999996,1.1,0.8999999999999999,0.9801060867832733,0.22097307949261466,3.628971374869247,0.8160212201683822,0.1839787798316178
